sgRNA_sequence,Ga_chimeric,Repository_page_link,Vector_type,tTA_TEV,Status_Milestone_cDNA,oGPCR_Uni,Name,Status_Milestone_CRISPR,Promoter,Presto_protease,Vector_page_link,Empty,Chimeric_Uni,Repository,Gene,Data_page_link,Vector_ID,Vector_backbone_id,oGPCR,Tag,RRID,id,pharosReady
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRA1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/1b466966-0d38-462e-8760-d7cece04516f,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRA3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/61c620e2-55cb-4934-acc7-ccff3297798e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRB2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/f745ce71-5a87-44c0-84d4-fc3b49440f50,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRB3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/02c0661d-abf2-4d82-a63f-038b01535f1b,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRD1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/f05a6755-62f5-47a9-b971-c86944e37475,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRD2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/3ef08fad-db99-428e-9d4f-dc4abb98b453,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRE1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/b81d2023-4f22-49a9-a3d4-456a0f3a5d0e,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRE3,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/3ff09266-bbe3-4244-b1d1-5ac84afbf1c2,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF1,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/2c33c4d4-727a-46c7-b76e-f8df5db8a518,true
not applicable,null,https://www.addgene.org/140992/,cDNA,null,null,null,pcDNA3.1-GGamma13-GFP2,null,CMV,null,not applicable,No,null,addgene,ADGRF2,https://www.nature.com/articles/s41589-020-0535-8,addgene140992,pcDNA3.1(+),null,not applicable,null,https://repo.metadatacenter.org/template-instances/5a36c519-9f40-4eb9-b9e8-728bbe8eda27,true
