Status_Milestone_Guide_RNAs,Description,Authors,Sex,Data_Repository,Tissue_ID,Name,Status_Milestone_Germ_line_transmission,Tissue,Gene,Endpoint,Data_page_link,Data_Link,Expression_data,Assay_ID,Status_Milestone_Anatomic_survey,Status_Milestone_Embryo_injection,Repository_page_link,Data_Format,Provider_institution,Endpoint_detection,Status_Milestone_Validation_of_expression,Status_Milestone_Detailed_expression,PI,Status_Milestone_Mouse_available,MMRRC_ID,id,pharosReady
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0001255,FLAG-TAS2R4-IRES-CRExAi9_bladder_male,Complete,urinary bladder,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=bladder,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=bladder,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/9d7f9f25-f694-4c9c-a165-a773028d6fc9,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0001255,FLAG-TAS2R4-IRES-CRExAi9_bladder_female,Complete,urinary bladder,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=bladder,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=bladder,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/df09fa7f-6daf-4d45-b3c1-93e2108d4013,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0000955,FLAG-TAS2R4-IRES-CRExAi9_Brain_male,Complete,brain,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=brain,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=brain,yes,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/5382af42-9f5c-47f8-a6dc-247adbaa9418,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0000955,FLAG-TAS2R4-IRES-CRExAi9_Brain_female,Complete,brain,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=brain,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=brain,yes,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/65e5c553-74f7-41bb-aa64-f48985e03521,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0001153,FLAG-TAS2R4-IRES-CRExAi9_cecum_male,Complete,caecum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=cecum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=cecum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/2a6054a9-e92f-4da6-b1eb-d59447e29c7e,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0001153,FLAG-TAS2R4-IRES-CRExAi9_cecum_female,Complete,caecum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=cecum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=cecum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/554c4c5d-a68a-462f-96b2-f2e64e5c97e6,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",female,amis.docking.org,UBERON:0001155,FLAG-TAS2R4-IRES-CRExAi9_colon_female,Complete,colon,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=colon,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=colon,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/9ec303bd-3f9e-4cee-9382-52dcb58616e6,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0001155,FLAG-TAS2R4-IRES-CRExAi9_colon_male,Complete,colon,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=colon,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=colon,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/0f81d4db-952b-4c11-8351-bf8fcde1e53a,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0002114,FLAG-TAS2R4-IRES-CRExAi9_duodenum_male,Complete,duodenum,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=duodenum,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=duodenum,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/f782f17f-0b37-4be2-906f-5f8e7763a1bf,true
Complete,"This data is a collection of image sets derived through crossing of a CRE driver line to the Ai9 CRE-reporter mouse line. Individual organs were harvested, histologically processed, and imaged using an Olympus Slide Scanner. Individual images are uploaded and stored on the amis.docking.org webserver for public viewing. This data represents our summary of the positive or negative classification of this organ for expression of the specificed gene.","Yi-Ting Chiu, Noah Sciaky, Karoline White, Justin English, Kunjie Hua, Reid Olsen",male,amis.docking.org,UBERON:0000019,FLAG-TAS2R4-IRES-CRExAi9_eyes_male,Complete,camera-type eye,TAS2R4,fold change,http://amis.docking.org/lookups?gene_name=TAS2R4&organ_name=eyes,http://amis.docking.org/img_browser?instrument=Histological&gene=TAS2R4&organ=eyes,no,null,Complete,Complete,https://www.mmrrc.org/catalog/sds.php?mmrrc_id=65282,TIFF,UNC Chapel Hill,fluorescence intensity,Complete,Complete,Bryan Roth,Complete,065282-UNC,https://repo.metadatacenter.org/template-instances/80e08d9c-cabf-4e93-9521-8b327c520aa1,true
