Description,Assay_ID,Authors,Data_Repository,Status_Milestone_NanoBRET_tracer,Data_Format,Provider_institution,Repository,Gene,Endpoint,Link_Milestone_NanoBRET_assay,Endpoint_detection,Dataset_ID,Release_Date,Data_Link,PI,Status_Milestone_NanoBRET_assay,Link_Milestone_NanoBRET_tracer,id,pharosReady,name
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,BRSK2,fold change,https://www.synapse.org/#!Synapse:syn18435656,fluorescence intensity,syn18435656,null,https://www.synapse.org/#!Synapse:syn18435656,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435656,https://repo.metadatacenter.org/template-instances/ff0d4116-865d-4718-a886-65256590bcf5,true,NanoLuc®-BRSK2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CSNK2A2,fold change,https://www.synapse.org/#!Synapse:syn18435653,fluorescence intensity,syn18435653,null,https://www.synapse.org/#!Synapse:syn18435653,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435653,https://repo.metadatacenter.org/template-instances/d6d414ab-2543-4d2b-a61b-2697f8efeac4,true,CSNK2A2-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CLK4,fold change,https://www.synapse.org/#!Synapse:syn18435654,fluorescence intensity,syn18435654,null,https://www.synapse.org/#!Synapse:syn18435654,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435654,https://repo.metadatacenter.org/template-instances/1d37787c-0e6a-4bf6-b66c-b36983589c6c,true,CLK4-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,DYRK1B,fold change,https://www.synapse.org/#!Synapse:syn18435652,fluorescence intensity,syn18435652,null,https://www.synapse.org/#!Synapse:syn18435652,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435652,https://repo.metadatacenter.org/template-instances/a34f85c2-d06a-49f2-b9d3-94353dfe674a,true,NanoLuc®-DYRK1B
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,CSNK1G2,fold change,https://www.synapse.org/#!Synapse:syn18435639,fluorescence intensity,syn18435639,null,https://www.synapse.org/#!Synapse:syn18435639,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435639,https://repo.metadatacenter.org/template-instances/1609dc2d-c532-425b-a757-e563dec49f2c,true,NanoLuc®-CSNK1G2
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,LTK,fold change,https://www.synapse.org/#!Synapse:syn18435650,fluorescence intensity,syn18435650,null,https://www.synapse.org/#!Synapse:syn18435650,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435650,https://repo.metadatacenter.org/template-instances/421a9c56-dcb1-44c3-95aa-58b9be2941f4,true,LTK-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MAP3K10,fold change,https://www.synapse.org/#!Synapse:syn20715315,fluorescence intensity,syn20715315,null,https://www.synapse.org/#!Synapse:syn20715315,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715315,https://repo.metadatacenter.org/template-instances/c6a5caaf-c7cf-4ffb-9f92-ce93d6bc6dd7,true,NanoLuc®-MAP3K10
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MAPK4,fold change,https://www.synapse.org/#!Synapse:syn20689583,fluorescence intensity,syn20689583,null,https://www.synapse.org/#!Synapse:syn20689583,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20689583,https://repo.metadatacenter.org/template-instances/ae9a77f6-7eab-4570-82e8-5d7973bf1131,true,NanoLuc®-MAPK4
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,NEK3,fold change,https://www.synapse.org/#!Synapse:syn18435643,fluorescence intensity,syn18435643,null,https://www.synapse.org/#!Synapse:syn18435643,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435643,https://repo.metadatacenter.org/template-instances/6b589381-2163-4c16-9390-2235fc8fd71f,true,NanoLuc®-NEK3
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,MARK4,fold change,https://www.synapse.org/#!Synapse:syn20689582,fluorescence intensity,syn20689582,null,https://www.synapse.org/#!Synapse:syn20689582,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20689582,https://repo.metadatacenter.org/template-instances/54fc266f-1861-4823-aeb5-f34f489feb80,true,NanoLuc®-MARK4
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,NEK9,fold change,https://www.synapse.org/#!Synapse:syn18435642,fluorescence intensity,syn18435642,null,https://www.synapse.org/#!Synapse:syn18435642,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435642,https://repo.metadatacenter.org/template-instances/0f561b4b-a141-4b30-bf22-3bacd578e829,true,NanoLuc®-NEK9
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,PKMYT1,fold change,https://www.synapse.org/#!Synapse:syn21519495,fluorescence intensity,syn21519495,null,https://www.synapse.org/#!Synapse:syn21519495,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn21519495,https://repo.metadatacenter.org/template-instances/361236b3-202b-4201-9b54-d064ebc5acab,true,PKMYT1-NanoLuc®
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,PHKG1,fold change,https://www.synapse.org/#!Synapse:syn20715295,fluorescence intensity,syn20715295,null,https://www.synapse.org/#!Synapse:syn20715295,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn20715295,https://repo.metadatacenter.org/template-instances/80a12786-33d4-4e71-a030-c01a200e22e1,true,NanoLuc®-PHKG1
NanoBRET Assay Tracer Titration,BAO_0010069,Julie Pickett,Synapse,Complete,PDF,UNC-CH,Synapse,RIOK2,fold change,https://www.synapse.org/#!Synapse:syn18435647,fluorescence intensity,syn18435647,null,https://www.synapse.org/#!Synapse:syn18435647,Tim Willson,Complete,https://www.synapse.org/#!Synapse:syn18435647,https://repo.metadatacenter.org/template-instances/17e88d5c-284d-4ced-8c17-cbf7f0bf8677,true,NanoLuc®-RIOK2
